"variable","value","ROPE_lower","ROPE_upper","ROPE_prec","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","rmse"
"TIA[27,10]",-1.415,-2.015,-0.815,1.2,-1.0498836384257,-1.0497209,0.449869609566795,0.457891432404,-1.787116885,-0.320481527,1.00000408542616,7761.45672553481,6631.26900368524,0.579368039563655
"TIA[28,1]",1.773,1.173,2.373,1.2,1.67241396121813,1.66966945,0.445399083774828,0.44574747063,0.940668852,2.40918041,1.00074073976285,8055.64288164619,6686.60311202455,0.456588542872362
"TIA[28,2]",1.829,1.229,2.429,1.2,1.6214180443075,1.6154553,0.438495928534767,0.43044837297,0.897918527,2.34910556,1.00026522684522,7879.17920064121,6299.01964542128,0.485123605729274
"TIA[28,3]",1.591,0.991,2.191,1.2,1.70770430897625,1.7072127,0.444103126854827,0.44480312856,0.971179412,2.433405395,1.00028409050892,7688.20067497377,6552.30297434034,0.459154472446309
"TIA[28,4]",2.029,1.429,2.629,1.2,1.70469525249287,1.69782035,0.44508713666821,0.44006414592,0.97691427,2.43893915,1.00068808612456,7650.9364728581,5807.30265840266,0.550682636064787
"TIA[28,5]",1.955,1.355,2.555,1.2,1.82070854229989,1.81441615,0.454775329762099,0.4590107361,1.086396575,2.570260635,1.00074063737761,7177.05988999061,6129.72794791274,0.474161305460891
"TIA[28,6]",1.724,1.124,2.324,1.2,1.735730867644,1.72821715,0.444758141642945,0.44528460291,1.005036605,2.4764168,1.00039309537282,7641.14660679245,5951.85779950456,0.444885031876548
"TIA[28,7]",1.674,1.074,2.274,1.2,1.67676356891875,1.6752434,0.44372071978536,0.44054606505,0.9467264825,2.41780686,1.00044794076749,7849.3182648623,6637.64716257105,0.443701592819274
"TIA[28,8]",1.742,1.142,2.342,1.2,1.7114572124515,1.71039605,0.449688346724275,0.45443654445,0.9666934345,2.453835515,1.00057548003794,7940.94004050941,6286.89667367099,0.450696343006793
"TIA[28,9]",2.172,1.572,2.772,1.2,1.67984231552375,1.678236,0.43923025887574,0.43852164888,0.952242751,2.405224485,1.00028264115109,7447.5886871595,6685.31041370433,0.65963496821995
"TIA[28,10]",1.396,0.796,1.996,1.2,1.53222079796313,1.5355127,0.44699157648393,0.44568549795,0.790934386,2.262912615,1.00017024099141,7838.82332112378,6589.33342427143,0.467260740980471
"TIA[29,1]",-1.451,-2.051,-0.851,1.2,-1.13646448167325,-1.1363365,0.453011283966978,0.44993789127,-1.871997535,-0.3944782835,1.000340093265,8285.57354302785,6659.42298809437,0.551476348801617
"TIA[29,2]",-1.049,-1.349,-0.749,0.6,-1.07459974889838,-1.0770414,0.443797366267395,0.44217559071,-1.807426655,-0.339945141,1.00022467327677,8189.56888967816,6339.27354797564,0.444507401442032
"TIA[29,3]",-0.738,-0.938,-0.538,0.4,-1.18634479209532,-1.18306455,0.449939919256736,0.45455463354,-1.923142105,-0.4560253535,1.00048624977525,8185.87764997394,6451.92678636917,0.635164291973652
"TIA[29,4]",-0.916,-1.216,-0.616,0.6,-1.13851220025781,-1.14560195,0.448325710334183,0.455889774144,-1.862192875,-0.406630498,1.00050000796358,8079.82204560154,6359.56671785031,0.500482264738127
"TIA[29,5]",-0.741,-0.941,-0.541,0.4,-1.13705925876984,-1.14294665,0.441706486554446,0.43950950526,-1.86540602,-0.414308005,0.999878153674803,8194.30266836498,6239.26809235611,0.593247982418864
"TIA[29,6]",-0.66,-0.86,-0.46,0.4,-0.960538498391951,-0.96449213,0.450930403897758,0.449755798338,-1.70199678,-0.209681307,1.00032587681017,7439.90462577831,6102.30783344733,0.541882091322862
"TIA[29,7]",-1.289,-1.889,-0.689,1.2,-1.15748964302481,-1.15855945,0.442493488832183,0.44577349026,-1.89067094,-0.4291470865,1.0005352848201,8040.68033774134,6235.48469559086,0.461596129305328
"TIA[29,8]",-1.212,-1.812,-0.612,1.2,-1.12307307492723,-1.11793735,0.449652792641739,0.456134796033,-1.86044996,-0.3952717915,1.00027411737942,7694.03438516723,6933.41811037817,0.458334330461042
"TIA[29,9]",-1.131,-1.431,-0.831,0.6,-1.04347728703295,-1.0433689,0.452316731395015,0.453625680858,-1.77342972,-0.295809308000002,1.00020422023636,7994.88874990825,6477.73269069751,0.460678930473052
"TIA[29,10]",-1.187,-1.487,-0.887,0.6,-1.03188010125539,-1.03199,0.447961080095925,0.45337952478,-1.76118141,-0.29873501,1.00036863442299,8096.25424484149,6311.77852669278,0.474031885663914
"TIA[30,1]",2.923,2.323,3.523,1.2,2.52501430021375,2.5196014,0.463765336932694,0.46856661201,1.77035208,3.299161555,1.00018226295104,8287.71990208028,5697.84484938763,0.61110066289334
"TIA[30,2]",2.798,2.198,3.398,1.2,2.65377999091,2.6461101,0.462855640678687,0.46892962662,1.90811473,3.42256201,1.00037671601032,8071.06727915514,6627.23271240707,0.48477621199063
"TIA[30,3]",2.743,2.143,3.343,1.2,2.477041697665,2.47777395,0.457116313930139,0.45978724785,1.720335975,3.240763925,1.00029748988267,8099.97731152295,5689.06241380883,0.528831753610196
"TIA[30,4]",2.531,1.931,3.131,1.2,2.6221645179625,2.6185886,0.470349730561965,0.47453837655,1.84796125,3.406519965,1.00027620211816,8442.48944919328,6546.8965527895,0.479074299839199
"TIA[30,5]",2.576,1.976,3.176,1.2,2.6851242997625,2.67981235,0.467230107417898,0.47048361381,1.92608194,3.448379075,1.0009591235722,7981.17698190624,6494.27747595207,0.479775778963191
"TIA[30,6]",2.78,2.18,3.38,1.2,2.6827419185625,2.68251125,0.463010784982235,0.4675616316,1.92386814,3.44865667,1.00028580887657,7767.55608612442,6654.39806618923,0.473087015295699
"TIA[30,7]",2.869,2.269,3.469,1.2,2.63258671338625,2.62186385,0.46088720764029,0.46756563462,1.893217445,3.39977219,1.00042613446252,8160.67752663867,5963.90846100177,0.517959176119806
"TIA[30,8]",2.682,2.082,3.282,1.2,2.4725573293075,2.46906565,0.458581548265804,0.46342717911,1.72102647,3.22196266,1.00021553595975,7687.5154819889,5810.64609566539,0.50412000712838
"TIA[30,9]",2.618,2.018,3.218,1.2,2.70571379686625,2.69695785,0.467726124569547,0.47124240849,1.95685265,3.479047505,1.00055274762227,8097.03329147809,6277.88163177827,0.475850913416787
"TIA[30,10]",2.508,1.908,3.108,1.2,2.65571076769375,2.6527666,0.462597529750324,0.462623535779999,1.89407481,3.419656875,1.00058222618926,7957.09187023868,6285.51827053791,0.485580267169562
"TIA[31,1]",3.465,2.865,4.065,1.2,3.529063373375,3.52231995,0.476246297246974,0.47543838888,2.753486785,4.32268994,0.999901395877589,7505.98053100835,6757.44814283051,0.480506295622318
"TIA[31,2]",3.283,2.683,3.883,1.2,3.5376187345125,3.53510755,0.483364051843075,0.49027810293,2.76329151,4.34727131,0.999797896669096,7610.9286899036,6163.4396995123,0.546298729156563
"TIA[31,3]",3.733,3.133,4.333,1.2,3.505693019675,3.49962275,0.473404038581825,0.47013890931,2.734766205,4.30111931,0.999958438485825,7595.07903477694,6732.37575316599,0.525120779561315
"TIA[31,4]",3.454,2.854,4.054,1.2,3.36559481325,3.36040385,0.469926440051162,0.46643567103,2.5975426,4.149266715,0.99980259766844,7608.74209615347,6738.56669858564,0.478140912541563
"TIA[31,5]",3.757,3.157,4.357,1.2,3.5073375479125,3.5012208,0.479323840697758,0.48119584359,2.72923592,4.29941413,1.00010793095423,7453.42448826898,6322.0019938924,0.540420174795095
"TIA[31,6]",3.164,2.564,3.764,1.2,3.3966510799875,3.3916079,0.471438786119591,0.47474445795,2.623673935,4.161728465,0.999908747415549,7967.12234772966,6595.26446451905,0.525693135071337
